,Powierzchnia,Piętro,room_count,lat,lng,Ludnosc,age,balkon,taras,Winda,Miejsce_parkingowe,Materiał_budynku,Stan_wykończenia,Rodzaj_zabudowy,price
81,46.7,3.0,2.0,50.0129645,21.0228596,101216.0,7.0,1.0,0.0,0,0,0,0,0,2500.0
82,58.0,2.0,3.0,52.2323652,21.0608047,90327.38888888888,19.0,1.0,0.0,0,1,1,0,0,3500.0
83,50.0,4.0,2.0,50.2979798,18.9432071,93189.0,58.0,0.0,0.0,0,1,0,0,0,1900.0
84,40.0,4.0,2.0,52.2416808,21.0840602,90327.38888888888,2.0,1.0,0.0,1,0,1,0,0,2700.0
85,82.0,0.0,3.0,52.1702784,21.0654202,90327.38888888888,18.0,0.0,1.0,1,0,1,1,0,6300.0
86,30.0,2.0,1.0,52.1814278,20.8284122,22394.0,15.0,0.0,0.0,0,0,1,1,0,1600.0
87,36.0,1.0,2.0,51.5956014,18.7302994,8125.357142857143,18.0,0.0,0.0,0,1,1,0,0,1700.0
88,27.0,0.0,1.0,50.0791564,19.8899382,141070.0,17.0,1.0,0.0,0,1,0,0,0,1700.0
89,38.0,2.0,2.0,52.4296012,16.9453926,93138.2,53.0,0.0,0.0,1,1,0,1,0,1750.0
90,41.0,4.0,2.0,52.401359,16.8998915,93138.2,16.0,0.0,0.0,1,1,0,1,0,2500.0
91,65.0,3.0,2.0,53.1261379,18.0036144,301909.0,16.0,1.0,0.0,0,0,0,1,0,1700.0
92,26.6,5.0,1.0,52.2103359,20.9712206,90327.38888888888,61.0,1.0,0.0,1,0,0,0,0,2400.0
93,37.0,1.0,2.0,54.3030534,18.6127301,420796.0,2.0,1.0,0.0,1,0,1,0,0,3100.0
94,38.0,7.0,2.0,52.2103359,20.9712206,90327.38888888888,12.0,0.0,0.0,1,0,0,0,0,2400.0
95,65.4,5.0,2.0,52.25375289999999,20.991017,90327.38888888888,15.0,1.0,0.0,1,0,1,0,0,4900.0
96,65.0,0.0,2.0,51.2457383,16.364586,88421.0,14.0,0.0,0.0,0,0,0,0,0,1500.0
97,48.0,4.0,2.0,52.2414482,21.1591804,90327.38888888888,10.0,1.0,0.0,1,0,0,0,0,2600.0
98,40.0,1.0,2.0,53.1204295,18.0396468,301909.0,16.0,0.0,0.0,0,1,1,1,0,1600.0
99,55.0,0.0,2.0,52.226067,21.034167,90327.38888888888,20.0,0.0,0.0,0,1,0,0,0,3500.0
100,34.0,0.0,2.0,52.2560812,21.0052214,90327.38888888888,73.0,0.0,0.0,0,1,0,0,0,2700.0
101,30.0,3.0,1.0,50.2279036,18.9718153,261379.0,2.0,1.0,0.0,1,1,1,0,0,1700.0
102,56.0,1.0,3.0,52.2034442,21.1754553,90327.38888888888,19.0,1.0,0.0,0,1,0,0,0,2000.0
103,36.0,4.0,2.0,52.2103359,20.9712206,90327.38888888888,20.0,0.0,0.0,1,1,0,1,0,2400.0
104,140.0,1.0,4.0,52.0932972,20.8072381,22394.0,13.0,0.0,1.0,0,0,0,0,0,6000.0
105,35.0,1.0,2.0,52.2252095,20.9786232,90327.38888888888,3.0,1.0,0.0,1,0,1,0,0,2800.0
106,90.0,4.0,3.0,52.1479489,21.0419581,90327.38888888888,4.0,1.0,1.0,1,0,0,0,0,4900.0
107,125.0,0.0,4.0,53.4438433,14.5055732,347786.0,11.0,0.0,1.0,0,0,0,0,0,6000.0
108,67.0,5.0,3.0,52.279794,20.9703308,90327.38888888888,23.0,1.0,0.0,1,0,1,1,0,4500.0
109,57.0,1.0,2.0,50.12180069999999,19.0200022,116583.0,15.0,1.0,0.0,1,1,1,0,1,2400.0
110,28.0,3.0,1.0,50.0829553,19.966897,141070.0,47.0,0.0,0.0,0,1,1,0,0,1950.0
111,35.0,3.0,2.0,52.1951226,20.8837885,90327.38888888888,2.0,1.0,0.0,1,0,0,0,0,2500.0
112,60.0,3.0,4.0,51.1196646,17.0502845,115516.8,14.0,0.0,0.0,0,1,1,1,1,5500.0
113,46.0,0.0,2.0,52.2782631,20.9801122,90327.38888888888,20.0,0.0,0.0,0,1,0,0,0,4200.0
114,41.0,6.0,2.0,52.260468,20.9713731,90327.38888888888,7.0,1.0,0.0,1,1,0,0,0,2800.0
115,46.0,3.0,2.0,52.4532369,16.911301,93138.2,16.0,1.0,0.0,1,0,1,1,0,2400.0
116,35.0,4.0,1.0,50.2960919,18.9501122,93189.0,16.0,0.0,0.0,0,1,0,0,0,1500.0
117,47.0,3.0,2.0,52.2416808,21.0840602,90327.38888888888,1.0,1.0,0.0,1,1,1,1,0,3500.0
118,16.0,4.0,1.0,52.1712925,21.0150027,90327.38888888888,2.0,0.0,1.0,1,1,0,0,0,2000.0
119,53.72,3.0,2.0,51.2094396,18.5898647,6769.272727272727,11.0,0.0,1.0,0,1,1,0,0,1900.0
