,Powierzchnia,Czynsz,Liczba pokoi,Kaucja,Piętro,Rodzaj zabudowy,Dostępne od,balkon,ogród,taras,Obsługa zdalna,Stan wykończenia,Typ ogłoszeniodawcy,Wynajmę również studentom,Wyposażenie,Media,Ogrzewanie,Zabezpieczenia,Okna,Winda,Miejsce parkingowe,Rok budowy,Materiał budynku,Informacje dodatkowe,is_adverb,link,localisation,price,room_count,space_sm,representative,lat,lng,powiat,Ludnosc
1987,54.0,500.0,3.0,1450.0,1.0,blok,2022-06-10,1,0,0,,do zamieszkania,biuro nieruchomości ,,meble,"telewizja kablowa, internet, telefon",miejskie,"domofon / wideofon, monitoring / ochrona",plastikowe,tak,,1980.0,wielka płyta,,False,/pl/oferta/wynajem-3-niezalezne-pokoje-balkon-ID4gYO1,"Toruń, Mokre",1450.0,3.0,54.0,Biuro nieruchomości,53.0361658,18.6252181,Toruń,175852.0
1990,28.0,500.0,1.0,1800.0,0.0,blok,,1,0,0,,do zamieszkania,prywatny,tak,"lodówka, meble, piekarnik, kuchenka, pralka",,miejskie,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, rolety antywłamaniowe",plastikowe,nie,,2000.0,cegła,tylko dla niepalących,False,/pl/oferta/kawalerka-os-batorego-do-wynajecia-ID4gOwb,"Poznań, Stare Miasto, Piątkowo, os. Stefana Batorego",1800.0,1.0,28.0,Oferta prywatna,52.4599708,16.920796,Poznań,93138.2
1991,65.0,700.0,3.0,4300.0,2.0,blok,,1,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",,miejskie,domofon / wideofon,drewniane,tak,,2000.0,inne,tylko dla niepalących,False,/pl/oferta/piekne-mieszkanie-przy-parku-i-obok-metra-natolin-ID4gO16,"Warszawa, Ursynów, Natolin, ul. Franciszka Marii Lanciego",3600.0,3.0,65.0,Oferta prywatna,52.1437572,21.05796,Warszawa,90327.38888888889
1993,36.2,300.0,1.0,1500.0,3.0,blok,,1,0,0,,,biuro nieruchomości ,,"zmywarka, piekarnik",,miejskie,,plastikowe,nie,,2000.0,cegła,oddzielna kuchnia,False,/pl/oferta/w-pelni-umeblowana-kawalerka-wysoki-standard-ID4gYNL,"Białystok, Leśna Dolina",1500.0,1.0,36.2,Biuro nieruchomości,53.138695,23.0886954,Białystok,268143.0
1994,49.6,500.0,2.0,2600.0,1.0,kamienica,2022-07-01,0,0,0,,do zamieszkania,prywatny,tak,"lodówka, meble, piekarnik, kuchenka, pralka",,miejskie,domofon / wideofon,plastikowe,nie,,1958.0,cegła,,False,/pl/oferta/dwupokojowe-mieszkanie-w-centrum-wrzeszcza-gdansk-ID4gYNn,"Gdańsk, Wrzeszcz",2650.0,2.0,49.6,Oferta prywatna,54.3754013,18.6091245,Gdańsk,420796.0
1995,81.4,-1.0,3.0,-1.0,4.0,Rodzaj_zabudowy_inne,2022-08-01,1,0,0,,do zamieszkania,biuro nieruchomości ,,meble,,miejskie,"domofon / wideofon, monitoring / ochrona",drewniane,tak,,2001.0,inne,,False,/pl/oferta/3-pokojowe-mieszkanie-81-m2-2-poziomowe-kabaty-ID4gYNK,"Warszawa, Ursynów, ul. Melchiora Wańkowicza",3300.0,3.0,81.4,Biuro nieruchomości,52.1334047,21.0660575,Warszawa,90327.38888888889
1996,42.0,462.0,2.0,2500.0,4.0,apartamentowiec,,1,0,1,,do zamieszkania,biuro nieruchomości ,tak,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","telewizja kablowa, internet, telefon",miejskie,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",plastikowe,tak,garaż/miejsce parkingowe,2002.0,cegła,,False,/pl/oferta/miedzychodzka-ataner-2-pok-umeblowane-z-garazem-ID4gYND,"Poznań, Grunwald",2100.0,2.0,42.0,Biuro nieruchomości,52.3895186,16.8511706,Poznań,93138.2
1997,24.0,300.0,1.0,-1.0,2.0,apartamentowiec,,1,0,0,,,biuro nieruchomości ,,"zmywarka, lodówka, piekarnik, kuchenka, telewizor, pralka",telewizja kablowa,,"domofon / wideofon, monitoring / ochrona",,nie,,2021.0,Materiał_budynku_inne,,False,/pl/oferta/sikorskiego-18-nowa-kawalerka-24m2-mokotow-ID4gYNy,"Warszawa, Mokotów",2100.0,1.0,24.0,Biuro nieruchomości,52.194157,21.0346955,Warszawa,90327.38888888889
1999,66.0,700.0,3.0,-1.0,0.0,blok,2022-07-01,0,0,1,,do zamieszkania,biuro nieruchomości ,,meble,,miejskie,,drewniane,nie,garaż/miejsce parkingowe,1998.0,Materiał_budynku_inne,oddzielna kuchnia,False,/pl/oferta/3-pokojowe-mieszkanie-z-tarasem-i-ogrodem-ID4gYNq,"Kraków, Podgórze Duchackie, Kurdwanów, Stanisława Stojałowskiego",2300.0,3.0,66.0,Biuro nieruchomości,50.0052496,19.9532246,Kraków,141070.0
2000,37.0,400.0,2.0,2000.0,1.0,apartamentowiec,,1,0,0,,do zamieszkania,biuro nieruchomości ,,"lodówka, meble, kuchenka, pralka",,miejskie,,plastikowe,nie,,2022.0,cegła,,False,/pl/oferta/2-pokojowe-na-jarze-ID4gYNG,"Toruń, Wrzosy",2000.0,2.0,37.0,Biuro nieruchomości,53.0536405,18.5860028,Toruń,175852.0
2001,45.0,500.0,2.0,3000.0,1.0,blok,,0,0,1,tak,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, pralka","telewizja kablowa, internet",miejskie,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe",plastikowe,tak,,2005.0,cegła,tylko dla niepalących,False,/pl/oferta/2-pokoje-z-duzym-tarasem-bemowo-wynajme-ID4cCEc,"Warszawa, Bemowo",2500.0,2.0,45.0,Oferta prywatna,52.2409067,20.9113297,Warszawa,90327.38888888889
2002,50.0,-1.0,2.0,-1.0,4.0,apartamentowiec,,1,0,0,,do zamieszkania,biuro nieruchomości ,,meble,"telewizja kablowa, internet",,monitoring / ochrona,drewniane,tak,garaż/miejsce parkingowe,2020.0,pustak,,False,/pl/oferta/apartament-do-wynajecia-katowice-bazantow-ID4gYIH,"Katowice, Kostuchna, Franciszka Zabłockiego",2350.0,2.0,50.0,Biuro nieruchomości,50.1969047,18.9841793,Katowice,261379.0
2004,38.0,500.0,2.0,-1.0,4.0,blok,,1,0,0,,,biuro nieruchomości ,,meble,,miejskie,monitoring / ochrona,,tak,,1969.0,Materiał_budynku_inne,oddzielna kuchnia,False,/pl/oferta/mieszkanie-2-pok-winda-rozklad-zgoda-ID4gYII,"Warszawa, Śródmieście, Zgoda",4500.0,2.0,38.0,Biuro nieruchomości,52.2331041,21.0127485,Warszawa,90327.38888888889
2007,56.2,-1.0,2.0,-1.0,3.0,blok,2022-06-06,0,0,0,,do zamieszkania,biuro nieruchomości ,,,internet,miejskie,monitoring / ochrona,plastikowe,tak,,1960.0,cegła,oddzielna kuchnia,False,/pl/oferta/2-pok-mieszkanie-po-remoncie-na-gornym-mokotowie-ID4gYIF,"Warszawa, Mokotów, Puławska",3500.0,2.0,56.2,Biuro nieruchomości,52.1899564,21.0243597,Warszawa,90327.38888888889
2008,50.0,-1.0,2.0,-1.0,6.0,apartamentowiec,,0,0,0,,do zamieszkania,biuro nieruchomości ,,meble,,,monitoring / ochrona,,nie,garaż/miejsce parkingowe,2012.0,Materiał_budynku_inne,oddzielna kuchnia,False,/pl/oferta/apartament-2-pok-przy-metrze-mlynow-ID4gYHu,"Warszawa, Wola, Sokołowska",2750.0,2.0,50.0,Biuro nieruchomości,52.2360375,20.9595694,Warszawa,90327.38888888889
2010,80.0,1.0,4.0,5000.0,2.0,kamienica,,0,0,0,,do zamieszkania,biuro nieruchomości ,,zmywarka,,miejskie,"system alarmowy, domofon / wideofon",plastikowe,nie,,1955.0,cegła,tylko dla niepalących,False,/pl/oferta/3-4-pok-dwustronne-wysokie-w-kamienicy-na-biuro-ID4gF4L,"Warszawa, Śródmieście, ul. Wojciecha Górskiego",4750.0,4.0,80.0,Biuro nieruchomości,52.233965,21.0166156,Warszawa,90327.38888888889
2011,37.5,-1.0,2.0,-1.0,1.0,szeregowiec,,1,0,0,,do zamieszkania,biuro nieruchomości ,,,"telewizja kablowa, internet, telefon",miejskie,domofon / wideofon,plastikowe,tak,,2016.0,cegła,,False,/pl/oferta/mieszkanie-37-50-m-poznan-ID4gYHg,"Poznań, Stare Miasto, Naramowice",1900.0,2.0,37.5,Biuro nieruchomości,52.44639489999999,16.9537315,Poznań,93138.2
2012,33.0,250.0,1.0,-1.0,3.0,apartamentowiec,2022-06-06,1,0,0,,do zamieszkania,biuro nieruchomości ,,meble,,miejskie,monitoring / ochrona,,tak,,2020.0,Materiał_budynku_inne,,False,/pl/oferta/studio-z-balkonem-w-nowym-budynku-lagiewniki-ska-ID4gYHn,"Kraków, Łagiewniki-Borek Fałęcki",2500.0,1.0,33.0,Biuro nieruchomości,50.017391,19.9264494,Kraków,141070.0
2014,53.0,-1.0,2.0,3000.0,2.0,apartamentowiec,,1,0,0,,do zamieszkania,prywatny,tak,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",internet,miejskie,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",plastikowe,tak,garaż/miejsce parkingowe,2001.0,cegła,"piwnica, oddzielna kuchnia",False,/pl/oferta/mokotow-2-pokoje-wynajme-ID4gYGJ,"Warszawa, Mokotów, Sadyba, ul. Bolesława Limanowskiego",2950.0,2.0,53.0,Oferta prywatna,52.189568,21.0563696,Warszawa,90327.38888888889
2019,41.0,-1.0,2.0,-1.0,1.0,Rodzaj_zabudowy_inne,2022-07-01,1,0,0,,do zamieszkania,biuro nieruchomości ,,meble,,miejskie,"domofon / wideofon, monitoring / ochrona",plastikowe,tak,,2021.0,inne,,False,/pl/oferta/2-pokojowe-nowe-mieszkanie-bliska-bialoleka-ID4gYGy,"Warszawa, Białołęka, ul. Mariana Hemara",2600.0,2.0,41.0,Biuro nieruchomości,52.3265223,21.0403535,Warszawa,90327.38888888889
2021,86.0,-1.0,3.0,9500.0,5.0,apartamentowiec,2021-06-15,0,0,1,,do zamieszkania,biuro nieruchomości ,,meble,,miejskie,"domofon / wideofon, monitoring / ochrona",drewniane,tak,,2014.0,inne,,False,/pl/oferta/elegancki-cichy-apartament-w-wysokim-standardzie-ID4gYGD,"Warszawa, Śródmieście, ul. Leona Kruczkowskiego",9200.0,3.0,86.0,Biuro nieruchomości,52.2340312,21.0303538,Warszawa,90327.38888888889
2022,43.0,500.0,2.0,1500.0,2.0,blok,2022-06-01,1,0,0,,do zamieszkania,prywatny,tak,"lodówka, meble, piekarnik, kuchenka, pralka",,miejskie,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",plastikowe,nie,,2006.0,cegła,"piwnica, tylko dla niepalących, oddzielna kuchnia",False,/pl/oferta/mieszkanie-43-m2-torun-wrzosy-teren-ogrodzony-ID2TA1n,"Toruń, Wrzosy",1400.0,2.0,43.0,Oferta prywatna,53.0536405,18.5860028,Toruń,175852.0
2023,29.0,-1.0,2.0,-1.0,3.0,blok,,1,0,0,,,biuro nieruchomości ,,,,miejskie,,plastikowe,tak,,1986.0,Materiał_budynku_inne,oddzielna kuchnia,False,/pl/oferta/2-pokojowe-mieszkanie-do-wynajecia-29m2-ID4gYH1,"Wałbrzych, Piaskowa Góra",1290.0,2.0,29.0,Biuro nieruchomości,50.807863,16.2777641,Wałbrzyski,5119.9
2024,130.0,-1.0,3.0,-1.0,7.0,apartamentowiec,,0,0,0,,,biuro nieruchomości ,,,,,,,nie,,2002.0,Materiał_budynku_inne,,False,/pl/oferta/wyjatkowy-apartament-przy-lazienkach-krolewskich-ID4gYGN,"Warszawa, Śródmieście, ul. Podchorążych",10000.0,3.0,130.0,Biuro nieruchomości,52.2084886,21.0449823,Warszawa,90327.38888888889
2027,50.0,680.0,2.0,3800.0,2.0,apartamentowiec,,1,0,1,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","telewizja kablowa, internet",miejskie,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",,tak,garaż/miejsce parkingowe,2016.0,Materiał_budynku_inne,"tylko dla niepalących, oddzielna kuchnia",False,/pl/oferta/piekne-z-tarasem-apartamenty-saska-nad-jeziorem-ID4bucT,"Warszawa, Praga-Południe, Gocław, ul. Jana Nowaka-Jeziorańskiego",3800.0,2.0,50.0,Oferta prywatna,52.2312337,21.0925229,Warszawa,90327.38888888889
2030,40.0,650.0,2.0,3000.0,4.0,apartamentowiec,,1,0,1,tak,,biuro nieruchomości ,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",telewizja kablowa,miejskie,"teren zamknięty, domofon / wideofon, monitoring / ochrona",drewniane,tak,garaż/miejsce parkingowe,2021.0,beton,,False,/pl/oferta/zajezdnia-wrzeszcz-gotowe-do-wprowadzenia-ID4gYFM,"Gdańsk, Wrzeszcz, al. gen. Józefa Hallera",2900.0,2.0,40.0,Biuro nieruchomości,54.3864297,18.6216183,Gdańsk,420796.0
2031,44.0,-1.0,2.0,-1.0,5.0,blok,,0,0,0,,,biuro nieruchomości ,,,,,,,nie,garaż/miejsce parkingowe,2014.0,Materiał_budynku_inne,,False,/pl/oferta/44m2-2-pok-na-woli-ul-jana-kazimierza-ID4gYFJ,"Warszawa, Wola, Jana Kazimierza",2800.0,2.0,44.0,Biuro nieruchomości,52.2229788,20.9395002,Warszawa,90327.38888888889
2032,43.0,350.0,2.0,2500.0,5.0,apartamentowiec,,1,0,1,,,biuro nieruchomości ,,,internet,miejskie,,plastikowe,tak,,2020.0,Materiał_budynku_inne,,False,/pl/oferta/dwa-pokoje-z-balkonem-na-osiedlu-nowy-brynow-ID4gYGm,"Katowice, Brynów-Zgrzebnioka, Brynów",1950.0,2.0,43.0,Biuro nieruchomości,50.2332302,19.0048679,Katowice,261379.0
2033,49.0,500.0,2.0,1000.0,4.0,blok,,1,0,0,,,biuro nieruchomości ,,,,miejskie,,plastikowe,nie,,1980.0,Materiał_budynku_inne,piwnica,False,/pl/oferta/mieszkanie-49-m-chrzanow-ID4gYGd,"Chrzanów, małopolskie",1000.0,2.0,49.0,Biuro nieruchomości,50.13456430000001,19.4001765,Janowski,4980.777777777777
2034,68.0,850.0,3.0,5000.0,1.0,apartamentowiec,2022-06-01,1,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","telewizja kablowa, internet",kotłownia,"teren zamknięty, domofon / wideofon, monitoring / ochrona",drewniane,tak,garaż/miejsce parkingowe,2008.0,cegła,tylko dla niepalących,False,/pl/oferta/warszewo-3-pok-68m2-miejsce-garazowe-ID3xyDt,"Szczecin, Północ, Warszewo, POZNAŃSKA, GARDEN HOUSE II",3000.0,3.0,68.0,Oferta prywatna,53.4734247,14.5448846,Szczecin,347786.0
2035,37.43,-1.0,1.0,2300.0,0.0,blok,,0,0,0,,do zamieszkania,biuro nieruchomości ,,"zmywarka, lodówka, meble, kuchenka",internet,miejskie,"teren zamknięty, domofon / wideofon, monitoring / ochrona",plastikowe,tak,,2021.0,Materiał_budynku_inne,,False,/pl/oferta/kawalerka-z-antresola-pierwszy-najem-ID4gFBv,"Wrocław, Psie Pole, ul. Bierutowska",2300.0,1.0,37.43,Biuro nieruchomości,51.1540364,17.1367024,Wrocław,115516.8
2036,34.5,-1.0,2.0,6300.0,5.0,apartamentowiec,,1,0,0,,do zamieszkania,biuro nieruchomości ,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",,miejskie,"drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona",drewniane,tak,garaż/miejsce parkingowe,2020.0,silikat,,False,/pl/oferta/mennica-residence-nowy-apartament-do-wynajecia-ID489ui,"Warszawa, Wola",4200.0,2.0,34.5,Biuro nieruchomości,52.2333751,20.9571835,Warszawa,90327.38888888889
2038,42.0,450.0,2.0,3700.0,2.0,blok,,1,0,0,,do zamieszkania,prywatny,tak,"lodówka, meble, piekarnik, kuchenka, telewizor, pralka","telewizja kablowa, internet",miejskie,"drzwi / okna antywłamaniowe, domofon / wideofon",plastikowe,tak,,1975.0,wielka płyta,tylko dla niepalących,False,/pl/oferta/mieszkanie-po-remoncie-ID49oLI,"Sosnowiec, Centrum",1600.0,2.0,42.0,Oferta prywatna,50.28626380000001,19.1040791,Sosnowiec,180262.0
2041,33.0,450.0,1.0,2500.0,2.0,blok,,1,0,0,,do zamieszkania,biuro nieruchomości ,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","internet, telefon",miejskie,,plastikowe,tak,,2021.0,Materiał_budynku_inne,oddzielna kuchnia,False,/pl/oferta/nowoczesna-kawalerka-w-wysokim-standardzie-ID4gJyr,"Katowice, Osiedle Tysiąclecia",1700.0,1.0,33.0,Biuro nieruchomości,50.28089869999999,18.9676608,Katowice,261379.0
2042,55.0,-1.0,2.0,4400.0,0.0,kamienica,,0,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka",internet,elektryczne,"drzwi / okna antywłamaniowe, domofon / wideofon, rolety antywłamaniowe",plastikowe,nie,garaż/miejsce parkingowe,2022.0,cegła,"piwnica, pom. użytkowe",False,/pl/oferta/m-3-nowe-komfortowe-klimatyzacja-miejsce-park-ID4gYpV,"ul. Czyżowicka, Wodzisław Śląski, śląskie",2200.0,2.0,55.0,Oferta prywatna,49.9939601,18.4415876,Wodzisławski,16353.888888888889
2043,120.0,-1.0,4.0,2000.0,-1.0,dom wolnostojący,,0,0,0,tak,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",internet,gazowe,"drzwi / okna antywłamaniowe, teren zamknięty",plastikowe,nie,garaż/miejsce parkingowe,1987.0,cegła,"tylko dla niepalących, oddzielna kuchnia",False,/pl/oferta/piekne-mieszkanie-120-m-z-oddzielnym-wejsciem-ID4gEHL,"Choszczno, zachodniopomorskie",3500.0,4.0,120.0,Oferta prywatna,53.16928,15.41971,Choszczeński,4511.1
2044,53.7,-1.0,2.0,3500.0,7.0,apartamentowiec,,1,0,0,tak,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",,miejskie,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",plastikowe,tak,garaż/miejsce parkingowe,2006.0,pustak,oddzielna kuchnia,False,/pl/oferta/mokotow-2-pokoje-metro-bezposrednio-od-1-08-eng-ID49jRY,"Warszawa, Mokotów, Górny Mokotów, Bukowińska 26b",3500.0,2.0,53.7,Oferta prywatna,52.183765,21.0255346,Warszawa,90327.38888888889
2046,50.0,-1.0,2.0,3000.0,2.0,Rodzaj_zabudowy_inne,2022-04-01,1,0,0,,do zamieszkania,prywatny,,"lodówka, meble, piekarnik, kuchenka, telewizor, pralka","telewizja kablowa, internet, telefon",miejskie,,plastikowe,nie,,2014.0,cegła,oddzielna kuchnia,False,/pl/oferta/luksusowe-nowe-mieszkanie-pelne-wyposazenie-ID3a222,"Zielona Góra, Centrum, ul. Franciszka Rzeźniczaka",2500.0,2.0,50.0,Oferta prywatna,51.957971,15.5022374,Zielona góra,129420.0
2049,16.0,210.0,1.0,1600.0,0.0,blok,,0,0,0,,do zamieszkania,prywatny,,"lodówka, meble, kuchenka, telewizor, pralka",internet,miejskie,teren zamknięty,plastikowe,nie,,1960.0,cegła,pom. użytkowe,False,/pl/oferta/mikro-kawalerka-ogrody-piwnica-internet-w-cenie-ID4gYoX,"Poznań, Jeżyce, Ogrody, ul. Szamotulska",1400.0,1.0,16.0,Oferta prywatna,52.4131903,16.8846416,Poznań,93138.2
2050,130.0,-1.0,5.0,8000.0,1.0,dom wolnostojący,,0,0,1,,do zamieszkania,prywatny,tak,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",,gazowe,"drzwi / okna antywłamaniowe, teren zamknięty",plastikowe,nie,garaż/miejsce parkingowe,2012.0,cegła,pom. użytkowe,False,/pl/oferta/przestronne-mieszkanie-z-tarasami-ID4cL8X,"Bielany Wrocławskie, dolnośląskie",6000.0,0.0,130.0,Oferta prywatna,51.0395332,16.9690407,Wrocławski,12567.666666666666
2051,36.0,450.0,2.0,5000.0,0.0,apartamentowiec,,0,0,1,tak,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",,miejskie,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",plastikowe,tak,garaż/miejsce parkingowe,2022.0,silikat,tylko dla niepalących,False,/pl/oferta/nowy-apartament-z-ogrodem-parking-sala-fitness-ID4gYoQ,"Gdynia, Wielki Kack, ul. Kacze Buki",2950.0,2.0,36.0,Oferta prywatna,54.4472693,18.4538567,Gdynia,219142.0
2052,91.0,-1.0,3.0,5500.0,9.0,apartamentowiec,2022-07-01,1,0,0,,do zamieszkania,biuro nieruchomości ,,meble,,,"system alarmowy, domofon / wideofon, monitoring / ochrona",drewniane,tak,,2012.0,inne,,False,/pl/oferta/komfortowy-apartament-91-m2-mokotow-cybernetyki-ID4gYoK,"Warszawa, Mokotów, ul. Cybernetyki",4000.0,3.0,91.0,Biuro nieruchomości,52.1763606,20.9944114,Warszawa,90327.38888888889
2056,90.0,-1.0,2.0,-1.0,4.0,apartamentowiec,,0,0,1,,,biuro nieruchomości ,,,,miejskie,,drewniane,nie,,2011.0,cegła,,False,/pl/oferta/wyjatkowy-penthouse-na-warszawskim-wilanowie-ID4gYpr,"Warszawa, Wilanów, Franciszka Klimczaka",6500.0,2.0,90.0,Biuro nieruchomości,52.1624843,21.078143,Warszawa,90327.38888888889
2057,62.0,-1.0,2.0,-1.0,2.0,kamienica,,0,0,0,,,prywatny,,kuchenka,"telewizja kablowa, internet, telefon",kotłownia,"teren zamknięty, domofon / wideofon",drewniane,nie,,2005.0,pustak,dwupoziomowe,False,/pl/oferta/mieszkanie-w-centrum-legionowa-ID4gNaD,"Legionowo, Centrum, ul. marsz. Józefa Piłsudskiego 13",2200.0,2.0,62.0,Oferta prywatna,52.4044483,20.9499697,Legionowski,19067.0
2060,39.0,300.0,2.0,3500.0,1.0,Rodzaj_zabudowy_inne,,1,0,0,,do zamieszkania,biuro nieruchomości ,,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka",,,,plastikowe,nie,garaż/miejsce parkingowe,2016.0,Materiał_budynku_inne,pom. użytkowe,False,/pl/oferta/wynajem-i-20-min-do-centrum-i-metro-i-balkon-ID4gYot,"Warszawa, Bielany, Stefana Żeromskiego",3200.0,2.0,39.0,Biuro nieruchomości,52.2765326,20.9515904,Warszawa,90327.38888888889
2065,56.0,-1.0,3.0,3500.0,1.0,kamienica,,0,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","telewizja kablowa, internet",gazowe,domofon / wideofon,plastikowe,tak,garaż/miejsce parkingowe,2020.0,pustak,pom. użytkowe,False,/pl/oferta/bezposrednio-nowe-mieszkanie-56m2-szaserow-praga-ID4dSld,"Warszawa, Praga-Południe, ul. Szaserów",3500.0,3.0,56.0,Oferta prywatna,52.247068,21.1016718,Warszawa,90327.38888888889
2066,34.0,450.0,2.0,-1.0,3.0,apartamentowiec,2022-07-01,1,0,0,,do zamieszkania,biuro nieruchomości ,,meble,,miejskie,monitoring / ochrona,,tak,,2020.0,Materiał_budynku_inne,,False,/pl/oferta/komfortowe-2-pok-mieszkanie-przy-rakowickiej-eng-ID4gYoC,"Kraków, Śródmieście, Rakowicka",3000.0,2.0,34.0,Biuro nieruchomości,50.06388260000001,19.9619742,Kraków,141070.0
2068,47.5,600.0,3.0,3000.0,4.0,blok,,1,0,0,,do zamieszkania,biuro nieruchomości ,,"lodówka, meble, kuchenka","telewizja kablowa, internet, telefon",miejskie,domofon / wideofon,drewniane,nie,,1980.0,wielka płyta,"piwnica, oddzielna kuchnia, pom. użytkowe",False,/pl/oferta/mieszkanie-3-pokojowe-kuchnia-balkon-ID4gYn3,"Nowy Sącz, małopolskie",1500.0,3.0,47.5,Biuro nieruchomości,49.6174535,20.7153326,Nowy sącz,78895.0
2069,42.0,400.0,2.0,3000.0,1.0,blok,,1,0,0,,do zamieszkania,prywatny,,"lodówka, meble, piekarnik, kuchenka, pralka",,miejskie,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",plastikowe,nie,,2017.0,silikat,,False,/pl/oferta/wynajme-mieszkanie-poznan-ul-smolna-ID47EVI,"ul. Smolna 13C, Poznań, wielkopolskie",2200.0,2.0,42.0,Oferta prywatna,52.4233188,16.9681564,Poznań,93138.2
2070,44.0,-1.0,2.0,-1.0,10.0,blok,,0,0,1,,do zamieszkania,biuro nieruchomości ,,meble,"telewizja kablowa, internet, telefon",miejskie,monitoring / ochrona,drewniane,tak,,2011.0,pustak,pom. użytkowe,False,/pl/oferta/krakow-krowoderskich-zuchow-torre-verona-ID4gYmQ,"Kraków, Krowodrza",2400.0,2.0,44.0,Biuro nieruchomości,50.0710629,19.9171877,Kraków,141070.0
2071,58.0,205.0,3.0,6000.0,3.0,apartamentowiec,,0,0,1,,do zamieszkania,biuro nieruchomości ,,telewizor,,miejskie,,plastikowe,tak,garaż/miejsce parkingowe,2021.0,Materiał_budynku_inne,oddzielna kuchnia,False,/pl/oferta/luksusowy-apartament-sarni-stok-ID4gYne,"Bielsko-Biała, śląskie",3000.0,3.0,58.0,Biuro nieruchomości,49.8223768,19.0583845,Bielsko-biała,156307.0
2072,78.8,270.0,3.0,3000.0,6.0,blok,2022-06-15,1,0,1,,do zamieszkania,prywatny,tak,"zmywarka, lodówka, piekarnik, kuchenka, pralka",,miejskie,"teren zamknięty, domofon / wideofon",plastikowe,tak,,2009.0,Materiał_budynku_inne,"dwupoziomowe, pom. użytkowe",False,/pl/oferta/pryw-80m2-swarzedz-dzialynskiego-2xwc-i-garderoba-ID42loC,"Swarzędz, Nowa Wieś",2700.0,3.0,78.8,Oferta prywatna,52.41253709999999,17.0855512,Poznański,15708.6
2075,36.7,-1.0,2.0,-1.0,6.0,Rodzaj_zabudowy_inne,,0,0,0,,,biuro nieruchomości ,,meble,"telewizja kablowa, internet",,system alarmowy,,tak,garaż/miejsce parkingowe,2008.0,Materiał_budynku_inne,,False,/pl/oferta/mieszkanie-36-70-m-warszawa-ID4gYhY,"Warszawa, Mokotów, Bukowińska",3000.0,2.0,36.7,Biuro nieruchomości,52.1847082,21.0250647,Warszawa,90327.38888888889
2080,25.0,-1.0,1.0,-1.0,2.0,apartamentowiec,,1,0,0,,do zamieszkania,prywatny,,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",,miejskie,"teren zamknięty, domofon / wideofon, monitoring / ochrona",,tak,,2021.0,Materiał_budynku_inne,tylko dla niepalących,False,/pl/oferta/piekna-nowa-kawalerka-w-wysokim-standardzie-ID4gEzH,"Warszawa, Praga-Północ, Praga, Wilenska Expres",2800.0,1.0,25.0,Oferta prywatna,52.2584741,21.0424694,Warszawa,90327.38888888889
